map{ id = "1_aaa_corrupted_save_map", description = "_corrupted_save_map" }
file{ path = "sounds/bird/raven_02.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_03.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_04.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_05.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_06.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_07.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_08.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_09.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_10.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_11.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_12.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_13.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_14.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_15.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_16.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_17.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_18.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_19.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_20.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_21.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_22.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_23.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_24.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/raven_25.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_01.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_02.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_03.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_04.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_05.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_06.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_07.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_08.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_09.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_10.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_11.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_12.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_13.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_14.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_15.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_16.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_17.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird/robin_18.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/bird_flying_away.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/bird_many_birds.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/boiling.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/bomb.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/boomerang.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/boss_hurt.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/boss_hurt1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/boss_killed.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/boss_killed1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/bow.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/breaking_glass.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/breaking_stone.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/breaking_vase.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/burrow1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/burrow2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/burrow4.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/burrow5.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/bush.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/bush_default.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cane.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cannon_fire.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/charge_1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/charge_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/charge_2_monster.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/charge_3.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/charge_sword.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/charge_warp.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/chest_open.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/clank.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/click_low.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/crackle1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cursor.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cursor_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cursor_low.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cursor_page.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/cursor_page_low.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/danger.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/dash.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/dash_big.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/delay_charge.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/door_closed.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/door_open.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/door_unlocked.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/drink.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/drip.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/elixer_upgrade.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_awake.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_hurt.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_hurt1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_hurt_01.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_hurt_default.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_killed.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/enemy_killed_old.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ether_bomb.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/explosion.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/explosion_ice.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/external_stairs_down.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/external_stairs_up.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/falling.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/finger_snap.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/finger_snap_reverb.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/fire_burning.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/fire_burst_1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/fire_burst_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/fire_burst_3.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/flail_swing.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/flail_throw.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/fuse.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/goat.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/goblin_giggle.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/gravel.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/gravel2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hand_cannon.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/heart.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/heartbeat.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_dying.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_falls.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_hurt.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_hurt_02.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_hurt_03.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_hurt_04.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_lands.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hero_pushes.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/hookshot.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/internal_stairs_down.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/internal_stairs_up.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/item_in_water.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/jump.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/lift.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/magic_bar.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/magic_regen.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/message_end.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/message_letter.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/monster_hurt.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/monster_roar_1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/monster_scream.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/no.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/oh_lotsa_damage.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ohko.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ok.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ok_l.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ok_r.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/pause_closed.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/pause_open.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/picked_item.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/picked_rupee.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/picked_small_key.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/piece_of_heart.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/pollution_puddle.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/quest_advance.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/quest_complete.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/quest_log.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/quest_started.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/quest_subtask.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/rain/rain_01.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_02.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_03.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_04.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_05.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_inside_01.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_inside_02.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_inside_03.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/rain/rain_inside_04.ogg", author = "Max Mraz", license = "CC0" }
file{ path = "sounds/roll_1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/roll_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/roll_2_grass.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/running.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/running_bleah.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/running_giggle.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/running_obstacle.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/rupee_counter.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/rupee_counter_end.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sea_spirit.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/secret.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/shield.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ship_creak.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ship_creak_6s.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ship_creak_lowpass.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/ship_creak_lowpass_7s.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/shoot.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/shoot_magic.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/shoot_magic_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/spit.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/splash.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/stairs_down_end.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/stairs_down_start.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/stairs_up_end.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/stairs_up_start.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/status_deactivated.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/steam_01.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/steam_high.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/stone.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/summon_in.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/swim.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/switch.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/switch_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/switch_3.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword3.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword4.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_beam.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_spin_attack_load.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_spin_attack_load_old.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_spin_attack_release.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_spin_attack_release_old.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_tapping.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/sword_tapping_weak_wall.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/throw.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/throw_01.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunder1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunder2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunder3.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunder4_short.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunder_double.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunder_far.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/thunk1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/timer.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/timer_hurry.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/treasure.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/uncorking_and_drinking_1.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/victory.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/walk_on_grass.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/walk_on_grass_old.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/walk_on_water.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/warp.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/water_drain.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/water_drain_begin.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/water_fill.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/water_fill_begin.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/water_flowing_in.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/water_flowing_in_2.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/wood_breaking_and_falling_into_water.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sounds/wrong.ogg", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/console", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/console/cursor.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/console/cursor.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/console/icons.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/console/icons.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/abyss_beast.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/abyss_beast.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/abyss_beast_faces.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/abyss_beast_ghost.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/abyss_beast_ring.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/abyss_beast_teleport_flash.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/assassinbeard.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/assassinbeard.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/aubrey.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/aubrey.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/avalanche_golem.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/avalanche_golem.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/bart.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/bart.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/bart_weapon.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/blackbeard.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/blackbeard.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/blackbeard_sword_slash.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/blackbeard_sword_slash.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/burrow_crab.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/burrow_crab.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/burrow_crab_2.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/burrow_crab_2.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/centipede_king.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/centipede_king.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/centipede_king_legs.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/charging_pirate_1.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/charging_pirate_1.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/crow_lord.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/crow_lord.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/crow_mech.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/crow_mech.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/fiend_1.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/fiend_1.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/forest_revenant.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/forest_revenant.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/ghostbeard.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/jazari.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/jazari.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/litton.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/litton.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/michael.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/michael.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/michael_weapon.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/moss_boss.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/moss_boss.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/ophira.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/ophira.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/ophira_chain_link.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/pollutant_boss.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/pollutant_boss.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/rock_spider_big.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/rock_spider_big.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/rock_spider_fire.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/rock_spider_fire.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/sea_hag.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/sea_hag.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/sea_king.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/sea_king.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/seamonster.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/skeleton_lord.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/skeleton_lord.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/thyme.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/thyme.png", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/zephyrine.dat", author = "Max Mraz", license = "All Rights Reserved" }
file{ path = "sprites/enemies/bosses/zephyrine.png", author = "Max Mraz", license = "All Rights Reserved" }
